peak_index,peak_row,peak_col,peak_value,quality_score,orientation,source,x0_profile,z0_depth,n_raw_candidates,n_cluster_representatives,method,profile_half_width,smooth_window,detrended
0.0,347,129,1175.9738574218768,7.219706820822609,vertical,raster,118.47928397679887,5.3749712438668364,31,4,classical_magcore,100,11,False
1.0,344,158,1175.9738574218768,5.368248847833295,vertical,raster,121.4792839767989,5.3749712438668364,31,4,classical_magcore,100,11,False
2.0,341,295,1175.9738574218768,4.592680557503723,vertical,raster,93.64147872472668,6.286559802512831,5,5,classical_magcore,100,11,False
3.0,360,120,1175.9738574218768,4.585115134479252,vertical,raster,105.47928397679888,5.3749712438668364,29,4,classical_magcore,100,11,False
4.0,340,250,1175.9738574218768,3.9435854782904403,vertical,raster,96.48498308247528,6.422452429902236,5,5,classical_magcore,100,11,False
5.0,372,132,1175.9738574218768,3.7715247344684606,vertical,raster,93.4792839767989,5.3749712438668364,27,3,classical_magcore,100,11,False
6.0,362,147,1175.9738574218768,3.560396559638769,vertical,raster,8.622757248581888,5.002519915159047,30,4,classical_magcore,100,11,False
7.0,372,180,1175.9738574218768,3.3604236423089753,horizontal,raster,152.75322456438667,5.137776240219368,64,3,classical_magcore,100,11,False
8.0,312,177,1175.9738574218768,3.340308209273858,vertical,raster,69.51203990032738,6.471125490138026,15,1,classical_magcore,100,11,False
9.0,336,242,1175.9738574218768,3.262746340631386,vertical,raster,86.34612947065641,5.970258589489152,6,5,classical_magcore,100,11,False
10.0,316,105,1175.9738574218768,3.2186260184899393,vertical,raster,70.6249814453113,5.69361770060818,8,5,classical_magcore,100,11,False
11.0,369,189,1175.9738574218768,3.0813422312538075,horizontal,raster,157.8265010242332,5.636536390473269,22,1,classical_magcore,100,11,False
12.0,318,185,1175.9738574218768,3.04452789140341,vertical,raster,68.62498144531126,5.69361770060818,8,5,classical_magcore,100,11,False
13.0,315,112,1175.9738574218768,2.9275459363981198,vertical,raster,71.62498144531124,5.69361770060818,9,5,classical_magcore,100,11,False
14.0,536,324,1175.9738574218768,2.886915244079232,vertical,raster,5.52527444279403,5.683964302506513,15,5,classical_magcore,100,11,False
15.0,318,189,1175.9738574218768,2.822907524962226,vertical,raster,68.62498144531126,5.69361770060818,8,5,classical_magcore,100,11,False
17.0,356,202,1175.9738574218768,2.6527638764699404,vertical,raster,35.763725805623125,5.574185029821746,5,5,classical_magcore,100,11,False
18.0,329,234,1175.9738574218768,2.6036953704596244,vertical,raster,93.20127904501773,6.08418540996655,6,5,classical_magcore,100,11,False
19.0,314,196,1175.9738574218768,2.4894277682606885,vertical,raster,67.35955498360602,6.423901697512149,18,2,classical_magcore,100,11,False
20.0,343,331,1175.9738574218768,2.4559719857717504,vertical,raster,90.32807174659087,6.193865872110583,5,5,classical_magcore,100,11,False
21.0,312,203,1175.9738574218768,2.3213761414278418,vertical,raster,110.20127904501783,6.08418540996655,6,5,classical_magcore,100,11,False
22.0,319,228,1175.9738574218768,2.2538351666400764,vertical,raster,103.2012790450179,6.08418540996655,8,5,classical_magcore,100,11,False
23.0,314,215,1175.9738574218768,2.2294082439053713,vertical,raster,108.20127904501781,6.08418540996655,7,5,classical_magcore,100,11,False
24.0,315,226,1175.9738574218768,2.207187851604455,vertical,raster,107.20127904501774,6.08418540996655,7,5,classical_magcore,100,11,False
27.0,605,326,1175.9738574218768,1.5985285244708984,vertical,raster,82.94958887600905,5.054867128401532,62,3,classical_magcore,100,11,False
28.0,605,339,1175.9738574218768,1.280055648834034,vertical,raster,82.94958887600905,5.054867128401532,62,3,classical_magcore,100,11,False
